0,47
0,74
0,77
2,48
2,75
4,78
4,79
5,1
5,5
5,40
5,43
6,2
7,39
7,69
9,20
10,0
13,4
13,10
13,21
14,39
16,2
16,23
17,20
18,42
20,8
20,16
20,21
20,25
21,2
23,13
25,16
26,12
26,14
28,2
28,68
28,75
30,58
32,72
33,8
33,62
34,8
35,9
35,54
36,7
36,50
36,72
37,23
37,32
37,48
38,47
38,70
39,12
39,52
40,49
40,74
41,37
41,41
42,77
43,4
43,66
44,12
44,14
44,51
44,65
45,29
45,53
45,75
45,78
47,19
47,49
48,50
48,58
49,8
50,16
50,61
52,1
52,22
53,45
54,42
56,6
57,28
58,13
59,3
61,22
65,15
66,31
66,58
66,61
67,30
68,10
68,27
69,29
69,33
69,39
69,60
70,77
72,12
72,20
72,74
74,6
75,75
76,27
76,61
77,9
79,13
79,17
79,29
79,69
79,78
82,13
83,17
83,67
85,20
86,6
87,74
89,70
90,18
91,23
91,77
92,53
92,66
95,31
96,12
96,23
96,29
97,13
97,41
97,71
98,25
98,35
98,52
98,74
